,number,,date,,
tmp2,35255,169,2013-06-14,,
tmp2,35172,170,2013-06-15,,
tmp2,32979,171,2013-06-16,,
tmp2,32164,172,2013-06-17,,
tmp2,25586,173,2013-06-18,,
tmp2,31086,174,2013-06-19,,
tmp2,32593,175,2013-06-20,,
tmp2,33417,176,2013-06-21,,
tmp2,34318,177,2013-06-22,,
tmp2,27499,178,2013-06-23,,
tmp2,29090,179,2013-06-24,,
tmp2,28296,180,2013-06-25,,
tmp2,30439,181,2013-06-26,,
tmp2,29918,182,2013-06-27,,
tmp2,32969,183,2013-06-29,,
tmp2,NA,184,NA,,
tmp2,NA,185,NA,,
tmp2,30438,186,2013-06-28,,
tmp2,27611,187,2013-06-30,,
tmp2,26980,188,2013-07-01,,
tmp2,26194,189,2013-07-02,,
tmp2,28372,190,2013-07-03,,
tmp2,29134,191,2013-07-04,,
tmp2,NA,192,NA,,
tmp2,29973,193,2013-07-05,,
tmp2,32186,194,2013-07-06,,
tmp2,31820,195,2013-07-07,,
tmp2,29418,196,2013-07-08,,
tmp2,29282,197,2013-07-09,,
tmp2,31780,198,2013-07-10,,
tmp2,34757,199,2013-07-11,,
tmp2,33823,200,2013-07-12,,
tmp2,35092,201,2013-07-13,,
tmp2,32846,202,2013-07-14,,
tmp2,30563,203,2013-07-15,,
tmp2,31213,204,2013-07-16,,
tmp2,34495,205,2013-07-17,,
tmp2,36672,206,2013-07-18,,
tmp2,35398,207,2013-07-19,,
tmp2,35675,208,2013-07-20,,
tmp2,31883,209,2013-07-21,,
tmp2,37009,210,2013-07-22,,
tmp2,31867,211,2013-07-23,,
tmp2,34799,212,2013-07-25,,
tmp2,35423,213,2013-07-24,,
tmp2,34719,214,2013-07-26,,
tmp2,46753,215,2013-07-27,,
tmp2,43684,216,2013-07-28,,
tmp2,42161,217,2013-07-29,,
tmp2,37740,218,2013-07-30,,
tmp2,45920,219,2013-07-31,,
tmp2,49361,220,2013-08-01,,
tmp2,42862,221,2013-08-02,,
tmp2,43109,222,2013-08-03,,
tmp2,42227,223,2013-08-04,,
tmp2,38561,224,2013-08-05,,
tmp2,37324,225,2013-08-06,,
tmp2,38952,226,2013-08-07,,
tmp2,43091,227,2013-08-08,,
tmp2,39773,228,2013-08-09,,
tmp2,40871,229,2013-08-10,,
tmp2,38815,230,2013-08-11,,
tmp2,41320,231,2013-08-12,,
tmp2,44140,232,2013-08-13,,
tmp2,42528,233,2013-08-14,,
tmp2,47004,234,2013-08-15,,
tmp2,34469,235,2013-08-16,,
tmp2,33901,236,2013-08-17,,
tmp2,NA,237,NA,,
tmp2,33221,238,2013-08-18,,
tmp2,36966,239,2013-08-19,,
tmp2,29035,240,2013-08-20,,
tmp2,35115,241,2013-08-21,,
tmp2,33222,242,2013-08-22,,
tmp2,33383,243,2013-08-23,,
tmp2,34790,244,2013-08-24,,
tmp2,37459,245,2013-08-25,,
tmp2,39509,246,2013-08-26,,
tmp2,33356,247,2013-08-27,,
tmp2,35134,248,2013-08-28,,
tmp2,34387,249,2013-08-29,,
tmp2,32931,250,2013-08-30,,
tmp2,28835,251,2013-08-31,,
tmp2,29246,252,2013-09-01,,
tmp2,29584,253,2013-09-02,,
tmp2,25352,254,2013-09-03,,
tmp2,28865,255,2013-09-04,,
tmp2,32458,256,2013-09-05,,
tmp2,30832,257,2013-09-06,,
tmp2,31771,258,2013-09-07,,
tmp2,30502,259,2013-09-08,,
tmp2,29204,260,2013-09-09,,
tmp2,29144,261,2013-09-10,,
tmp2,26070,262,2013-09-11,,
tmp2,28647,263,2013-09-12,,
tmp2,NA,264,NA,,
tmp2,28622,265,2013-09-13,,
tmp2,32027,266,2013-09-14,,
tmp2,26158,267,2013-09-15,,
tmp2,29051,268,2013-09-16,,
tmp2,37890,269,2013-09-17,,
tmp2,45940,270,2013-09-18,,
tmp2,40267,271,2013-09-19,,
tmp2,36285,272,2013-09-20,,
tmp2,30367,273,2013-09-21,,
tmp2,33813,274,2013-09-22,,
tmp2,31344,275,2013-09-23,,
tmp2,32270,276,2013-09-24,,
tmp2,33561,277,2013-09-25,,
tmp2,36036,278,2013-09-26,,
tmp2,37384,279,2013-09-27,,
tmp2,35714,280,2013-09-28,,
tmp2,27985,281,2013-09-29,,
tmp2,35634,282,2013-09-30,,
tmp2,32543,283,2013-10-01,,
tmp2,36458,284,2013-10-02,,
tmp2,43885,285,2013-10-03,,
tmp2,33851,286,2013-10-04,,
tmp2,27705,287,2013-10-05,,
tmp2,26400,288,2013-10-06,,
tmp2,28101,289,2013-10-07,,
tmp2,18110,290,2013-10-08,,
tmp2,33808,291,2013-10-09,,
tmp2,31838,292,2013-10-10,,
tmp2,30514,293,2013-10-11,,
tmp2,38774,294,2013-10-12,,
tmp2,29718,295,2013-10-13,,
tmp2,33902,296,2013-10-14,,
tmp2,31702,297,2013-10-15,,
tmp2,34037,298,2013-10-16,,
tmp2,33083,299,2013-10-17,,
tmp2,36107,300,2013-10-18,,
tmp2,NA,301,NA,,
tmp2,36087,302,2013-10-19,,
tmp2,30971,303,2013-10-20,,
tmp2,38783,304,2013-10-21,,
tmp2,NA,305,NA,,
tmp2,31944,306,2013-10-22,,
tmp2,32955,307,2013-10-23,,
